npi,provider_type,state,entity_code,anomaly_score_raw,isolation_forest_anomaly_flag,risk_score_0_100,risk_category,lof_anomaly_flag,lof_score,leie_excluded_match,risk_reasons
1003156142,Mass Immunizer Roster Biller,CO,O,0.013500814439435294,1,52.26,High,0,1.2495672330564849,0,unusually high payment-to-charge ratio (z=7.9 vs. population median); unusually high 5-year average payment-to-charge ratio (z=7.5 vs. population median); unusually high allowed-to-charge ratio (z=5.1 vs. population median); unusually high total beneficiaries served (z=3.2 vs. population median); unusually high drug-payment-share deviation from specialty peers (z=2.4 vs. population median)
1003004938,Mass Immunizer Roster Biller,ME,O,0.013376123587901412,1,52.23,High,0,1.164131409233566,0,unusually high year-over-year payment-per-service change (z=27.0 vs. population median); unusually high multi-year payment trend (z=9.4 vs. population median); unusually high payment-to-charge ratio (z=7.7 vs. population median); unusually high 5-year average payment-to-charge ratio (z=6.9 vs. population median); unusually low payment-to-charge-ratio deviation from specialty peers (z=-5.4 vs. population median)
1003051129,Pharmacy,SC,O,0.012105740155269995,1,51.92,High,0,1.0795050270115893,0,unusually high multi-year payment trend (z=84.0 vs. population median); unusually high multi-year service-volume trend (z=32.0 vs. population median); unusually high payment-to-charge ratio (z=7.2 vs. population median); unusually high 5-year average payment-to-charge ratio (z=5.0 vs. population median); unusually high allowed-to-charge ratio (z=4.6 vs. population median)
1003162637,Family Practice,TN,I,0.0118534794804801,1,51.86,High,1,1.856684986726134,0,unusually high total beneficiaries served (z=185.9 vs. population median); unusually high 5-year average total services (z=114.2 vs. population median); unusually high total services billed (z=113.6 vs. population median); unusually high total Medicare payment received (z=21.3 vs. population median); unusually high 5-year average total payment (z=20.6 vs. population median)
1003114539,Mass Immunizer Roster Biller,MN,O,0.011787877100316035,1,51.85,High,0,1.3563404779025148,0,unusually high multi-year payment trend (z=32.6 vs. population median); unusually low payment-to-charge-ratio deviation from specialty peers (z=-18.9 vs. population median); unusually high multi-year service-volume trend (z=13.7 vs. population median); unusually high payment-to-charge ratio (z=7.3 vs. population median); unusually high 5-year average payment-to-charge ratio (z=7.2 vs. population median)
1003147083,Mass Immunizer Roster Biller,PA,O,0.011715472562532359,1,51.83,High,0,1.239885392535739,0,unusually high payment-to-charge ratio (z=7.6 vs. population median); unusually high 5-year average payment-to-charge ratio (z=7.3 vs. population median); unusually low payment-to-charge-ratio deviation from specialty peers (z=-7.2 vs. population median); unusually high allowed-to-charge ratio (z=4.9 vs. population median); unusually low services-per-beneficiary deviation from specialty peers (z=-1.6 vs. population median)
1003158676,Mass Immunizer Roster Biller,IL,O,0.011250961567078721,1,51.72,High,0,1.2415683392832666,0,unusually high payment-to-charge ratio (z=7.9 vs. population median); unusually high 5-year average payment-to-charge ratio (z=7.5 vs. population median); unusually high allowed-to-charge ratio (z=5.1 vs. population median); unusually high total beneficiaries served (z=3.2 vs. population median); unusually high drug-payment-share deviation from specialty peers (z=2.5 vs. population median)
1003010794,General Surgery,CA,I,0.01096097239067706,1,51.65,High,0,1.2210681360705407,0,unusually high year-over-year service volume change (z=115.6 vs. population median); unusually high year-over-year beneficiary count change (z=109.8 vs. population median); unusually high year-over-year payment change (z=79.0 vs. population median); unusually high multi-year service-volume trend (z=57.6 vs. population median); unusually high multi-year payment trend (z=36.7 vs. population median)
1003089657,Mass Immunizer Roster Biller,GA,O,0.010894007759550961,1,51.63,High,0,1.0371137292185721,0,unusually high payment-to-charge ratio (z=7.9 vs. population median); unusually high 5-year average payment-to-charge ratio (z=7.6 vs. population median); unusually high allowed-to-charge ratio (z=5.1 vs. population median); unusually high year-over-year payment-per-service change (z=3.6 vs. population median); unusually low year-over-year service volume change (z=-3.1 vs. population median)
1003084021,Mass Immunizer Roster Biller,KS,O,0.01057832062071884,1,51.55,High,0,1.1712676519030576,0,unusually high multi-year payment trend (z=10.1 vs. population median); unusually high payment-to-charge ratio (z=7.9 vs. population median); unusually high 5-year average payment-to-charge ratio (z=7.3 vs. population median); unusually high allowed-to-charge ratio (z=5.1 vs. population median); unusually high multi-year service-volume trend (z=4.2 vs. population median)
1003118621,Mass Immunizer Roster Biller,PA,O,0.010392012611740387,1,51.51,High,0,1.231844952227617,0,unusually high year-over-year payment-per-service change (z=21.5 vs. population median); unusually high multi-year payment trend (z=10.4 vs. population median); unusually high payment-to-charge ratio (z=7.9 vs. population median); unusually high 5-year average payment-to-charge ratio (z=6.7 vs. population median); unusually high 5-year average total services (z=6.1 vs. population median)
1003007386,Centralized Flu,PA,O,0.00985742339782314,1,51.38,High,0,1.016450511208434,0,unusually low payment-to-charge-ratio deviation from specialty peers (z=-23.4 vs. population median); unusually high year-over-year payment-per-service change (z=10.8 vs. population median); unusually high payment-to-charge ratio (z=6.7 vs. population median); unusually high 5-year average payment-to-charge ratio (z=6.1 vs. population median); unusually high allowed-to-charge ratio (z=4.2 vs. population median)
1003112335,Centralized Flu,FL,O,0.008078982588338501,1,50.95,High,0,1.1275393554061766,0,unusually high year-over-year payment-per-service change (z=19.6 vs. population median); unusually high payment-to-charge ratio (z=7.7 vs. population median); unusually high 5-year average payment-to-charge ratio (z=6.2 vs. population median); unusually high allowed-to-charge ratio (z=4.9 vs. population median); unusually low year-over-year service volume change (z=-3.9 vs. population median)
1003024357,Mass Immunizer Roster Biller,NJ,O,0.007989318208588392,1,50.93,High,0,0.9921454350693135,0,unusually high year-over-year payment-per-service change (z=10.1 vs. population median); unusually high payment-to-charge ratio (z=7.9 vs. population median); unusually high 5-year average payment-to-charge ratio (z=7.6 vs. population median); unusually high 5-year average total services (z=5.2 vs. population median); unusually high allowed-to-charge ratio (z=5.1 vs. population median)
1003096322,Centralized Flu,TN,O,0.007535385642283399,1,50.82,High,0,0.9980292357386356,0,unusually high payment-to-charge ratio (z=7.6 vs. population median); unusually high 5-year average payment-to-charge ratio (z=7.1 vs. population median); unusually high allowed-to-charge ratio (z=4.9 vs. population median); unusually high year-over-year payment-per-service change (z=4.6 vs. population median); unusually high drug-payment-share deviation from specialty peers (z=4.3 vs. population median)
1003063355,Centralized Flu,TX,O,0.006629389634392191,1,50.6,High,0,1.0680993715001075,0,unusually high year-over-year payment-per-service change (z=16.5 vs. population median); unusually high payment-to-charge ratio (z=7.6 vs. population median); unusually high 5-year average payment-to-charge ratio (z=5.6 vs. population median); unusually high allowed-to-charge ratio (z=4.9 vs. population median); unusually low year-over-year service volume change (z=-3.6 vs. population median)
1003064106,Centralized Flu,TX,O,0.006386046047814675,1,50.55,High,0,1.0110918653687082,0,unusually high year-over-year payment-per-service change (z=8.0 vs. population median); unusually high payment-to-charge ratio (z=7.6 vs. population median); unusually high 5-year average payment-to-charge ratio (z=7.5 vs. population median); unusually high multi-year payment trend (z=6.7 vs. population median); unusually high allowed-to-charge ratio (z=4.9 vs. population median)
1003094798,Centralized Flu,PA,O,0.00634024982494541,1,50.54,High,0,1.25953416750455,0,unusually high multi-year payment trend (z=16.2 vs. population median); unusually high year-over-year payment-per-service change (z=8.8 vs. population median); unusually high payment-to-charge ratio (z=7.7 vs. population median); unusually high 5-year average payment-to-charge ratio (z=5.8 vs. population median); unusually high allowed-to-charge ratio (z=5.0 vs. population median)
1003103474,Ambulatory Surgical Center,OH,O,0.00540864867374069,1,50.31,High,0,1.304393896055768,0,unusually high submitted charge per service (z=155.9 vs. population median); unusually high payment per service (z=89.8 vs. population median); unusually high total submitted charges (z=67.8 vs. population median); unusually high 5-year average payment per service (z=51.5 vs. population median); unusually high total Medicare payment received (z=32.1 vs. population median)
1003036385,Mass Immunizer Roster Biller,CT,O,0.004858402922817806,1,50.18,High,0,1.0376782684549446,0,unusually high year-over-year payment-per-service change (z=14.9 vs. population median); unusually low payment-to-charge-ratio deviation from specialty peers (z=-14.0 vs. population median); unusually high payment-to-charge ratio (z=7.4 vs. population median); unusually high 5-year average payment-to-charge ratio (z=6.5 vs. population median); unusually high allowed-to-charge ratio (z=4.8 vs. population median)
1003162041,Mass Immunizer Roster Biller,NJ,O,0.004665248124079313,1,50.13,High,0,1.1428849856695025,0,unusually low payment-to-charge-ratio deviation from specialty peers (z=-10.1 vs. population median); unusually high payment-to-charge ratio (z=7.5 vs. population median); unusually high 5-year average payment-to-charge ratio (z=7.2 vs. population median); unusually high allowed-to-charge ratio (z=4.9 vs. population median); unusually high service-concentration deviation from specialty peers (z=2.1 vs. population median)
1003122870,Mass Immunizer Roster Biller,VA,O,0.0044753575900424725,1,50.09,High,0,0.9803509674129212,0,unusually high year-over-year payment-per-service change (z=8.8 vs. population median); unusually high payment-to-charge ratio (z=7.9 vs. population median); unusually high 5-year average payment-to-charge ratio (z=7.6 vs. population median); unusually high allowed-to-charge ratio (z=5.1 vs. population median); unusually low year-over-year service volume change (z=-2.8 vs. population median)
